[tm1:1507851232900911,tm2:1507851232921368(20457),tm3:1507851232935484(34573),tm4:1507851232935529(34618)]
[tm1:1507851232966732,tm2:1507851232988607(21875),tm3:1507851233002662(35930),tm4:1507851233002708(35976)]
[tm1:1507851233037134,tm2:1507851233057831(20697),tm3:1507851233072098(34964),tm4:1507851233072143(35009)]
[tm1:1507851233106420,tm2:1507851233127765(21345),tm3:1507851233144133(37713),tm4:1507851233144178(37758)]
[tm1:1507851233178526,tm2:1507851233199536(21010),tm3:1507851233214007(35481),tm4:1507851233214054(35528)]
[tm1:1507851233245732,tm2:1507851233266609(20877),tm3:1507851233280901(35169),tm4:1507851233280945(35213)]
[tm1:1507851233316734,tm2:1507851233331598(14864),tm3:1507851233347130(30396),tm4:1507851233347179(30445)]
[tm1:1507851233381935,tm2:1507851233397257(15322),tm3:1507851233411362(29427),tm4:1507851233411412(29477)]
[tm1:1507851233446159,tm2:1507851233461200(15041),tm3:1507851233472606(26447),tm4:1507851233472657(26498)]
[tm1:1507851233508006,tm2:1507851233523197(15191),tm3:1507851233534791(26785),tm4:1507851233534854(26848)]
[tm1:1507851233566825,tm2:1507851233581684(14859),tm3:1507851233594696(27871),tm4:1507851233594749(27924)]
[tm1:1507851233628429,tm2:1507851233643458(15029),tm3:1507851233654690(26261),tm4:1507851233654728(26299)]
[tm1:1507851233687082,tm2:1507851233702057(14975),tm3:1507851233719867(32785),tm4:1507851233719910(32828)]
[tm1:1507851233756473,tm2:1507851233771483(15010),tm3:1507851233787955(31482),tm4:1507851233787997(31524)]
[tm1:1507851233821831,tm2:1507851233836982(15151),tm3:1507851233849026(27195),tm4:1507851233849069(27238)]
[tm1:1507851233885609,tm2:1507851233900757(15148),tm3:1507851233913916(28307),tm4:1507851233913954(28345)]
[tm1:1507851233948790,tm2:1507851233964479(15689),tm3:1507851233979196(30406),tm4:1507851233979235(30445)]
[tm1:1507851234015804,tm2:1507851234030629(14825),tm3:1507851234047810(32006),tm4:1507851234047851(32047)]
[tm1:1507851234080166,tm2:1507851234094798(14632),tm3:1507851234106904(26738),tm4:1507851234106941(26775)]
[tm1:1507851234140825,tm2:1507851234155957(15132),tm3:1507851234171223(30398),tm4:1507851234171261(30436)]
