[tm1:1507791194579875,tm2:1507791194585948(6073),tm3:1507791194594155(14280),tm4:1507791194594173(14298)]
[tm1:1507791194635491,tm2:1507791194641525(6034),tm3:1507791194650976(15485),tm4:1507791194651001(15510)]
[tm1:1507791194692331,tm2:1507791194698340(6009),tm3:1507791194706582(14251),tm4:1507791194706606(14275)]
[tm1:1507791194749555,tm2:1507791194757190(7635),tm3:1507791194768144(18589),tm4:1507791194768163(18608)]
[tm1:1507791194809499,tm2:1507791194817104(7605),tm3:1507791194827536(18037),tm4:1507791194827555(18056)]
[tm1:1507791194867432,tm2:1507791194874982(7550),tm3:1507791194884131(16699),tm4:1507791194884153(16721)]
[tm1:1507791194923745,tm2:1507791195155463(231718),tm3:1507791195164070(240325),tm4:1507791195164100(240355)]
[tm1:1507791195203848,tm2:1507791195212980(9132),tm3:1507791195222537(18689),tm4:1507791195222559(18711)]
[tm1:1507791195261945,tm2:1507791195271279(9334),tm3:1507791195280942(18997),tm4:1507791195280969(19024)]
[tm1:1507791195320511,tm2:1507791195329720(9209),tm3:1507791195340232(19721),tm4:1507791195340258(19747)]
[tm1:1507791195378704,tm2:1507791195387984(9280),tm3:1507791195398804(20100),tm4:1507791195398830(20126)]
[tm1:1507791195439508,tm2:1507791195446922(7414),tm3:1507791195457756(18248),tm4:1507791195457785(18277)]
[tm1:1507791195498152,tm2:1507791195505745(7593),tm3:1507791195514925(16773),tm4:1507791195514954(16802)]
[tm1:1507791195554040,tm2:1507791195561645(7605),tm3:1507791195574733(20693),tm4:1507791195574755(20715)]
[tm1:1507791195614936,tm2:1507791195624130(9194),tm3:1507791195634864(19928),tm4:1507791195634891(19955)]
[tm1:1507791195674806,tm2:1507791195911130(236324),tm3:1507791195922553(247747),tm4:1507791195922583(247777)]
[tm1:1507791195963099,tm2:1507791195973917(10818),tm3:1507791195986456(23357),tm4:1507791195986492(23393)]
[tm1:1507791196027375,tm2:1507791196038377(11002),tm3:1507791196050897(23522),tm4:1507791196050929(23554)]
[tm1:1507791196090896,tm2:1507791196101904(11008),tm3:1507791196119744(28848),tm4:1507791196119790(28894)]
[tm1:1507791196159771,tm2:1507791196170840(11069),tm3:1507791196184616(24845),tm4:1507791196184658(24887)]
[tm1:1507791196224680,tm2:1507791196235294(10614),tm3:1507791196248727(24047),tm4:1507791196248758(24078)]
[tm1:1507791196289285,tm2:1507791196300155(10870),tm3:1507791196314386(25101),tm4:1507791196314422(25137)]
[tm1:1507791196354960,tm2:1507791196365897(10937),tm3:1507791196379601(24641),tm4:1507791196379631(24671)]
[tm1:1507791196420397,tm2:1507791196431481(11084),tm3:1507791196451011(30614),tm4:1507791196451045(30648)]
[tm1:1507791196493135,tm2:1507791196504150(11015),tm3:1507791196518164(25029),tm4:1507791196518196(25061)]
[tm1:1507791196558196,tm2:1507791196569294(11098),tm3:1507791196583404(25208),tm4:1507791196583451(25255)]
